distance matrix	Population:	AFR___ACB	AFR___ASW	AFR___ESN	AFR___GWD	AFR___LWK	AFR___MSL	AFR___YRI	AMR___CLM	AMR___MXL	AMR___PEL	AMR___PUR	EAS___CDX	EAS___CHB	EAS___CHS	EAS___JPT	EAS___KHV	EUR___CEU	EUR___FIN	EUR___GBR	EUR___IBS	EUR___TSI	SAS___BEB	SAS___GIH	SAS___ITU	SAS___PJL	SAS___STU
ENSG00000167397___VKORC1__dist_max___BOOT13	0.9994752466643073	0.9923901234424332	1.0084162277361477	0.9809257054223682	1.0097981666855977	1.0135560618827029	0.9986989923917405	0.9962980800232087	1.0111970261635153	0.9990847017226835	0.9954883166281839	1.0002761287979856	0.9884973306377047	0.9898223672368579	1.0088906729562441	1.0102459094152108	0.9872340783532245	1.019796087005312	0.9977172900074118	0.9932479033676896	1.002452577248809	1.0032417178242636	0.993346329316203	0.9964802065478676	1.0088289663919934	0.9840112616541797	0.990048736516965	
ENSG00000167397___VKORC1__dist_max___BOOT14	0.9995039194262756	0.9938157366860769	1.0034129697233125	0.9789779873167551	1.01001590409856	1.0122929544057284	1.002123722949687	0.9993400797617216	1.0147754130094258	1.0037929447171905	0.9910314129300601	1.002556579587378	0.9915703662705985	0.9882148366236478	1.0030632331062255	1.0081532450397133	0.9911580976749921	1.020233229766705	0.997299259012855	0.9924322780780305	1.0044351349485814	1.0005091798986168	0.9891970083696179	0.9920514915823495	1.0130981536803734	0.9867970071886585	0.9909744831694814	
ENSG00000167397___VKORC1__dist_max___BOOT15	0.9998058202996604	0.9927533433323006	1.0063082394125755	0.980721641565295	1.0078813191518252	1.0121863322561686	1.001913136460426	1.0032010718070599	1.0134522448056769	1.0029105207063043	0.9908199003264117	1.0012190935637468	0.9921505097686201	0.9884149844955015	1.0024579010935977	1.0089671170368624	0.99180191434935	1.0209713421356394	0.9983363978057298	0.9934338773361395	1.002952814441435	1.0015943223382653	0.9898727461675476	0.9943766092752887	1.0115986666373369	0.9864160477998278	0.9930793459303511	
ENSG00000167397___VKORC1__dist_max___BOOT16	0.9996474042683334	0.9905649240577771	1.0054759724531763	0.9814561387742383	1.0052308089082704	1.0121258490502714	1.0036948510087573	1.003035833398946	1.015072854462726	0.9987844881962087	0.9891693399136214	0.9973374481789893	0.9946787676893689	0.9884643319120875	1.0041945803178918	1.010336048206916	0.9902748135137026	1.0197133269202918	1.0027181346395526	0.9948773561551147	0.9994165239309697	1.0006001546359657	0.9920068042707132	0.9932243662461654	1.0097344172148073	0.989915661486919	0.9930973801274529	
ENSG00000167397___VKORC1__dist_max___BOOT17	0.9999426224402767	0.9942733356050587	1.0055922044503502	0.9806555088516183	1.0075248879705752	1.008343413256556	1.0042671642526022	1.0014579481563264	1.0160159920631673	0.992204941521922	0.9874051543037224	0.9960479094360699	0.9986208608558643	0.9912118207165997	1.0001013610904779	1.0077481170973464	0.9895426430045916	1.019297425019703	1.0034923892027803	0.9971312505589098	0.999167790838482	1.0029805741027011	0.992256157641613	0.9982404985496328	1.0093900593105942	0.988439766965109	0.9951207443595262	
ENSG00000167397___VKORC1__dist_max___BOOT18	0.999622253491137	0.9948951570649955	1.0122512851153198	0.9828709836937726	1.0054445014378188	1.0083519601867355	1.002013733818368	1.0002845429449947	1.0131491363283964	0.9957078969372752	0.9896392661529408	0.9960344064242783	0.9949141302170152	0.989968996655147	1.0012095936584575	1.0053748443536006	0.9880751618513209	1.0173080588143795	1.0020194230197976	0.9977801396969812	0.9953819529296567	1.0055352487329146	0.996776700064375	0.9979385731201019	1.0090400906265988	0.9906188729266496	0.9977215405352466	
ENSG00000167397___VKORC1__dist_max___BOOT19	0.9997337770532134	0.9919754310904009	1.0093014613731492	0.9856857028968806	1.0036261430263862	1.0098188476303975	1.0007405390038704	1.001730403657961	1.0096900897670704	0.9992030874612955	0.9908350178557628	0.9933130674501176	0.995524033079913	0.9909188446318545	1.0000050682052035	1.004693602521439	0.9895213856205892	1.0184512061972273	1.0028386275511603	0.9951758306520705	0.9989793757954691	1.0042511370840062	0.9974124685369676	0.9987670684960483	1.0105093417704936	0.9915359073216657	0.9989704351455699	
ENSG00000167397___VKORC1__dist_max___BOOT20	0.9996570963481742	0.994474437290667	1.0105368839521869	0.9858292458488489	1.0049154968516976	1.0093169943088192	0.9986603310472543	0.9993999158680937	1.0131941632915624	0.9938674444054248	0.9893361286137319	0.9958251455393063	0.9980535723560522	0.9889986521138114	1.0004727431224074	1.0026170314523284	0.9874191486632896	1.0182653754198403	1.001018995832324	0.998015942489001	1.00143434548163	1.0029010983272795	0.9954025123333983	0.9970814351021866	1.0105722868276639	0.9918301486805926	0.998492751794832	
ENSG00000167397___VKORC1__dist_max___BOOT21	0.9997198876623486	0.9927523128591874	1.0082614700869756	0.9872596795993654	1.0050015806375536	1.0081759284243705	1.0019355158357697	0.9988143167685221	1.0131523056999716	0.9941737707008251	0.9895737444656999	0.9992464452113479	0.999660423655874	0.987962409027733	1.0009822891342468	1.0018130048756255	0.9876856032362555	1.0170119001251634	1.0011586775273942	0.9983915430275201	1.0015125663938143	0.9996368653005708	0.9981212533108226	0.994927028680508	1.0110620409194875	0.9954941697169016	0.9977657191212617	
ENSG00000167397___VKORC1__dist_max___BOOT22	0.9996760890541659	0.9935335625203829	1.010111242105669	0.9847683675436174	1.0043071154874037	1.0089889274048083	1.0021681616889566	0.9982348115712525	1.012646397200478	0.9901423194784003	0.9882248987214697	0.9971991242319471	0.9977755105754766	0.9876927754366495	1.0028434550818501	1.0048985278687834	0.9886346270420406	1.0169834593912759	1.0009058018435424	0.9959409434655965	1.001694466252139	0.9996750261670774	0.9977401629721275	0.9977086573132415	1.0130529459391513	0.9947044037708287	0.9966378377625313	
ENSG00000167397___VKORC1__dist_max___BOOT23	0.9998668777928588	0.9922843333972221	1.0116851243155254	0.9864915118254776	1.0038328468313216	1.0123413882211152	1.002165032623747	0.9977318779742007	1.0135005154987187	0.9902780888777354	0.9846107737375273	0.9991172784786199	1.0029297800017825	0.9874737129591217	1.0007951398177903	1.0024822389198234	0.9886658142273985	1.0131745805452277	1.0043986021820819	0.9950457860245976	1.0040020579423066	0.9998338800364036	0.9965372915612603	0.9988372713713632	1.0120224885235982	0.9937138174473604	0.9965384046231962	
ENSG00000167397___VKORC1__dist_max___BOOT24	0.9997557096217597	0.9949454653374742	1.0096940108659669	0.9847064763456432	1.0044626227578999	1.0112928584810155	1.0040212050079795	0.9985298465566597	1.0116831707267946	0.9940209206015512	0.9813808342744065	0.9997910092256458	1.0039936126140276	0.9843788370013359	1.0002895677796182	0.9968219258719108	0.9928721565778128	1.0110613770151893	1.0057384081239915	0.9964637278669684	1.0053539068742963	1.000404612267175	0.9971425992370267	0.9990546100547084	1.0109908249513706	0.9933712422199129	0.9963154139001086	
ENSG00000167397___VKORC1__dist_max___BOOT25	0.9996556984957282	0.9965660904814457	1.0078049776340503	0.9853450512849333	1.003196067527483	1.0136027436398918	1.002656748783746	0.9985037180569128	1.012422315136012	0.9949000477839014	0.9838037012465958	1.000049013098934	1.0018432817683975	0.9824393269489654	1.0025455977076565	0.9971017947863207	0.9953072685917207	1.011678469515441	1.003782051109814	0.998880416093524	1.0054795594910815	0.9998862872952614	0.9980914721438465	0.9970207462681189	1.0072217126609126	0.9934613156936843	0.99484235549308	
ENSG00000167397___VKORC1__dist_max___BOOT26	0.9997896034804684	0.9981411291728874	1.0067237724708316	0.9852422900598403	1.0053156521734192	1.0133315718189604	1.0017016129196148	0.9962154710937821	1.0124786978117755	0.9926411590904705	0.9869795470779025	1.0004481864669763	1.002511540262809	0.9833834985768548	1.0019962305965642	0.9959691740958185	0.9965221800757686	1.0124724055821581	1.0033234794745896	0.9977590321248228	1.0055886746517306	0.9996081771178941	0.9983462424678863	0.9989700871518595	1.0056888144435236	0.9934109673548608	0.9949750236106113	
